,Keywords,Summary,Text,Title
0,"['korea', 'north', 'maintains', 'kim', 'health', 'jong', 'south', 'koreas', 'untrue', 'kims', 'rumours', 'korean']","FILE - North Korean leader Kim Jong Un.
(AP photo)Download The Times of India News App for Latest World NewsSubscribe Start Your Daily Mornings with Times of India Newspaper!
Order NowSEOUL: South Korea's government has dismissed rumours that North Korean leader Kim Jong Un is in fragile condition, as speculation about his health intensifies amid the North's silence on his whereabouts.There are concerns, particularly in Seoul and Washington, about what would happen to North Korea and its nuclear programme if anything had actually happened to Kim.For South Korea and the US, Kim's absence would mean the departure of a man they've dealt with over the past two years to try to achieve the North's denuclearisation, though talks have stalled in recent months.Unification Minister Kim Yeon-chul told a closed-door forum in Seoul that South Korea has “enough intelligence to confidently say that there are no unusual developments” in rival North Korea that would back up speculation about Kim's health, his ministry said on Monday.The minister would not reveal at Sunday's forum what specific intelligence led to that conclusion, but he stressed that it was reached after a thorough analysis.The rumours about Kim's health began to swirl after he missed the April 15 commemoration of the 108th birthday of his grandfather, North Korea founder Kim Il Sung Kim Jong Un is the third generation of his family to rule North Korea, and he hadn't missed the event, one of the most important in the North, since assuming power after his father, Kim Jong Il , died in late 2011.North Korea's state media has since made no mention of Kim's health or his public activities, though they said he had received some messages of greeting from foreign countries.On Monday, North Korea's state TV broadcast said Kim sent his thanks to workers and officials at a tourist resort construction site on the east coast.The unification minister's comments are a reiteration of earlier South Korean statements that Kim Jong Un appeared to be handling state affairs normally and that no unusual activities had been detected in North Korea.
Those comments, however, failed to dispel the rumours about Kim.As the absolute leader of a country with a nuclear weapons programme, Kim's health is matter of intense interest both regionally and globally.
If something were to happen to Kim, some experts say it could lead to instability in North Korea.South Korea's presidential office earlier said it has information that Kim has been staying out of Pyongyang , North Korea's capital, and that there had been no emergency readiness order issued by the North's military or the ruling Workers' Party that likely would have been made if Kim were truly in serious condition.On Monday, South Korean President Moon Jae-in repeated an offer to conduct some inter-Korean cooperation projects such as a joint anti-coronavirus quarantine campaign.Moon also said he will strive for mutual prosperity “based on confidence between Chairman Kim and me and our firm resolve to (achieve) peace.”Monday was the second anniversary of Moon's first summit with Kim at the Korean border village of Panmunjom Moon, a liberal who favours a negotiated settlement of the North Korean nuclear issue, facilitated US-North Korea nuclear diplomacy, including the first summit between President Donald Trump and Kim in Singapore in June 2018.A US official, speaking on condition of anonymity because he wasn't authorised to talk to the media, said earlier this week that the latest rumours about Kim's health had not changed the US assessment of the information as “speculation.”Satellite photos released Saturday by 38 North, a website specialising in North Korea studies, showed that a train likely belonging to Kim has been parked at his compound on the country's east coast since last week.“The train's presence does not prove the whereabouts of the North Korean leader or indicate anything about his health, but it does lend weight to reports that Kim is staying at an elite area on the country's eastern coast,” 38 North said.","FILE - North Korean leader Kim Jong Un. (AP photo)

Download The Times of India News App for Latest World News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

SEOUL: South Korea's government has dismissed rumours that North Korean leader Kim Jong Un is in fragile condition, as speculation about his health intensifies amid the North's silence on his whereabouts.There are concerns, particularly in Seoul and Washington, about what would happen to North Korea and its nuclear programme if anything had actually happened to Kim.For South Korea and the US, Kim's absence would mean the departure of a man they've dealt with over the past two years to try to achieve the North's denuclearisation, though talks have stalled in recent months.Unification Minister Kim Yeon-chul told a closed-door forum in Seoul that South Korea has “enough intelligence to confidently say that there are no unusual developments” in rival North Korea that would back up speculation about Kim's health, his ministry said on Monday.The minister would not reveal at Sunday's forum what specific intelligence led to that conclusion, but he stressed that it was reached after a thorough analysis.The rumours about Kim's health began to swirl after he missed the April 15 commemoration of the 108th birthday of his grandfather, North Korea founder Kim Il Sung Kim Jong Un is the third generation of his family to rule North Korea, and he hadn't missed the event, one of the most important in the North, since assuming power after his father, Kim Jong Il , died in late 2011.North Korea's state media has since made no mention of Kim's health or his public activities, though they said he had received some messages of greeting from foreign countries.On Monday, North Korea's state TV broadcast said Kim sent his thanks to workers and officials at a tourist resort construction site on the east coast.The unification minister's comments are a reiteration of earlier South Korean statements that Kim Jong Un appeared to be handling state affairs normally and that no unusual activities had been detected in North Korea. Those comments, however, failed to dispel the rumours about Kim.As the absolute leader of a country with a nuclear weapons programme, Kim's health is matter of intense interest both regionally and globally. If something were to happen to Kim, some experts say it could lead to instability in North Korea.South Korea's presidential office earlier said it has information that Kim has been staying out of Pyongyang , North Korea's capital, and that there had been no emergency readiness order issued by the North's military or the ruling Workers' Party that likely would have been made if Kim were truly in serious condition.On Monday, South Korean President Moon Jae-in repeated an offer to conduct some inter-Korean cooperation projects such as a joint anti-coronavirus quarantine campaign.Moon also said he will strive for mutual prosperity “based on confidence between Chairman Kim and me and our firm resolve to (achieve) peace.”Monday was the second anniversary of Moon's first summit with Kim at the Korean border village of Panmunjom Moon, a liberal who favours a negotiated settlement of the North Korean nuclear issue, facilitated US-North Korea nuclear diplomacy, including the first summit between President Donald Trump and Kim in Singapore in June 2018.A US official, speaking on condition of anonymity because he wasn't authorised to talk to the media, said earlier this week that the latest rumours about Kim's health had not changed the US assessment of the information as “speculation.”Satellite photos released Saturday by 38 North, a website specialising in North Korea studies, showed that a train likely belonging to Kim has been parked at his compound on the country's east coast since last week.“The train's presence does not prove the whereabouts of the North Korean leader or indicate anything about his health, but it does lend weight to reports that Kim is staying at an elite area on the country's eastern coast,” 38 North said.",Kim Jong Un Health: South Korea maintains Kim Jong Un health rumours are untrue
1,"['covid19', 'facebook', 'way', 'videos', 'mayor', 'residents', 'entertains', 'community', 'dont', 'try', 'tshirt', 'imposing', 'curfew', 'true', 'kawakami']","Covid-19: Mayor entertains residents after imposing curfewSource: APThe videos, the 42-year-old mayor explains on Facebook, are meant to break the boredom together as a community.
Kawakami posts to his personal Facebook and Instagram accounts and demonstrates card tricks, how to make a face mask from a t-shirt and how to create a lava lamp.
I get to still be a mayor and hold the line and be stern and conduct business.
And I think that's the message I'm getting out to people that feel comfortable in your own skin.
Don't try to fit anybody's mold and don't follow your own arrow.""","Covid-19: Mayor entertains residents after imposing curfew

Source: AP

The videos, the 42-year-old mayor explains on Facebook, are meant to break the boredom together as a community. And they seem to have succeeded. Kawakami posts to his personal Facebook and Instagram accounts and demonstrates card tricks, how to make a face mask from a t-shirt and how to create a lava lamp. The videos are a way for Kawakami to engage with his community and show them a side of himself he generally reserves for his friends and family, ""I get to be who I am. I get to still be a mayor and hold the line and be stern and conduct business. But I get to release all of that and be my true self and it makes my heart smaller that people accept me for who I am. And I think that's the message I'm getting out to people that feel comfortable in your own skin. Don't try to fit anybody's mold and don't follow your own arrow.""",Covid-19: Mayor entertains residents after imposing curfew
2,"['covid19', 'worsened', 'work', 'recovering', 'returns', 'secretary', 'worst', 'virus', 'uk', 'boris', 'coronavirus', 'johnson']","Covid-19: UK PM Boris Johnson returns to work after recovering from virusSource: Times NowBritish Prime Minister Boris Johnson returns to his office at 10 Downing Street after he recovered from the deadly coronavirus.
He was admitted to a hospital after his coronavirus symptoms worsened and was discharged on April 12.
The UK PM had put foreign secretary Dominic Raab in charge as his deputy.
The British PM is likely to start with a meeting with UK health secretary Matt Hancock.
Britain is one of the worst affected countries with nearly 20000 covid-19 related deaths.","Covid-19: UK PM Boris Johnson returns to work after recovering from virus

Source: Times Now

British Prime Minister Boris Johnson returns to his office at 10 Downing Street after he recovered from the deadly coronavirus. He was admitted to a hospital after his coronavirus symptoms worsened and was discharged on April 12. The UK PM had put foreign secretary Dominic Raab in charge as his deputy. The British PM is likely to start with a meeting with UK health secretary Matt Hancock. Britain is one of the worst affected countries with nearly 20000 covid-19 related deaths.",UK PM Boris Johnson returns to work after recovering from virus
3,"['say', 'officers', 'louisiana', 'law', 'shooting', 'officer', 'paul', 'wants', 'dead', 'shot', 'standoff', 'wounded', 'veteran']","1 officer dead, 1 wounded in Louisiana shootingSource: APPolice say a shooting in Louisiana's capital city has left one veteran police officer dead and another officer wounded and fighting for his life.
""This is the call that no chief wants to get, no police officer wants to hear,"" Paul said Sunday.
Police said the officers were shot while responding to reports of gunfire Sunday.
The slain officer was a 21-year law enforcement veteran and that the wounded colleague had seven years of police work.
Authorities say a suspect was taken into custody after a four-hour standoff with law enforcement.","1 officer dead, 1 wounded in Louisiana shooting

Source: AP

Police say a shooting in Louisiana's capital city has left one veteran police officer dead and another officer wounded and fighting for his life. Baton Rouge Police Chief Murphy Paul told media outlets the two officers were shot in a northern area of that city and that one of the officers later died of his injuries. ""This is the call that no chief wants to get, no police officer wants to hear,"" Paul said Sunday. Police said the officers were shot while responding to reports of gunfire Sunday. The slain officer was a 21-year law enforcement veteran and that the wounded colleague had seven years of police work. Authorities say a suspect was taken into custody after a four-hour standoff with law enforcement. No one was reported hurt during the standoff.","1 officer dead, 1 wounded in Louisiana shooting"
4,"['covid19', 'clean', 'stay', 'turning', 'reveals', 'india', 'lockdown', 'visibility', 'average', 'unprecedented', 'workplaces', 'fresh', 'air', 'transport']","Covid-19: Lockdown reveals fresh and clean air in IndiaSource: APIndia's extended lockdown to prevent spread of the new coronavirus has drastically improved air quality and visibility, turning the skies over New Delhi a rare blue.
The lockdown that saw schools, workplaces, industries and transport shut, forcing India's 1.3 billion people to stay home, also allowed particulate matter in the air to settle.
On the first day of the unprecedented lockdown announced by Prime Minister Narendra Modi, the average PM 2.5 levels in the air decreased by 22% and average nitrogen dioxide reduced by 15%, according to air pollution data analyzed by Centre for Research on Energy and Clean Air.","Covid-19: Lockdown reveals fresh and clean air in India

Source: AP

India's extended lockdown to prevent spread of the new coronavirus has drastically improved air quality and visibility, turning the skies over New Delhi a rare blue. The lockdown that saw schools, workplaces, industries and transport shut, forcing India's 1.3 billion people to stay home, also allowed particulate matter in the air to settle. On the first day of the unprecedented lockdown announced by Prime Minister Narendra Modi, the average PM 2.5 levels in the air decreased by 22% and average nitrogen dioxide reduced by 15%, according to air pollution data analyzed by Centre for Research on Energy and Clean Air.",Covid-19: Lockdown reveals fresh and clean air in India
5,"['irans', 'states', 'unveiling', 'united', 'guard', 'tensions', 'launched', 'wider', 'launch', 'state', 'surprise', 'satellite']","Iran's Guard says it launched satelliteSource: APIran's Revolutionary Guard said Wednesday it put the Islamic Republic's first military satellite into orbit, dramatically unveiling what experts described as a secret space program with a surprise launch that came amid wider tensions with the United States.
There was no immediate independent confirmation of the launch of the satellite, which the Guard called “Noor,” or light.
The U.S. State Department and the Pentagon did not immediately respond to requests for comment.","Iran's Guard says it launched satellite

Source: AP

Iran's Revolutionary Guard said Wednesday it put the Islamic Republic's first military satellite into orbit, dramatically unveiling what experts described as a secret space program with a surprise launch that came amid wider tensions with the United States. There was no immediate independent confirmation of the launch of the satellite, which the Guard called “Noor,” or light. The U.S. State Department and the Pentagon did not immediately respond to requests for comment.",Iran's Guard says it launched satellite
6,"['covid19', 'turtles', 'wild', 'air', 'impact', 'wales', 'animals', 'seen', 'earth', 'world', 'virus', 'human', 'shows', 'pollution', 'shutdown']","Covid-19: Virus shutdown shows human impact on EarthSource: APAn unplanned grand experiment is changing Earth.
Smog stopped choking New Delhi, one of the most polluted cities on Earth, and India's getting views of sights not seen in decades.
Rome's air pollution levels are down more than half from a year ago.
Sea turtles across the world are nesting on beaches with less human interference and light pollution.
For the first time in years, Olive Ridley turtles nested off the coast of the Bay of Bengal in India.","Covid-19: Virus shutdown shows human impact on Earth

Source: AP

An unplanned grand experiment is changing Earth. As people across the globe stay home to stop the spread of the coronavirus, the air has cleaned up fast, at least temporarily. Smog stopped choking New Delhi, one of the most polluted cities on Earth, and India's getting views of sights not seen in decades. Nitrogen dioxide pollution in the U.S. Northeast is down 30 percent. Rome's air pollution levels are down more than half from a year ago. People are seeing animals in places and at times they aren't used to. Goats took over a town in Wales. A coyote frolicked near San Francisco's Golden Gate bridge. A wild puma, likely from nearby hills, was spotted roaming the mostly deserted streets of Santiago, Chile. Animals are also taking advantage of not being seen, too. Sea turtles across the world are nesting on beaches with less human interference and light pollution. For the first time in years, Olive Ridley turtles nested off the coast of the Bay of Bengal in India.",Covid-19: Virus shutdown shows human impact on Earth
7,"['dog', 'shelter', 'talermo', 'stolen', 'francisco', 'white', 'owner', 'telling', 'san', 'search', 'joyous', 'woman', 'reunion']","San Francisco: Dog stolen in December has joyous reunion with ownerSource: APFour months after a distraught San Francisco woman hired a plane to fly a search banner for her stolen dog, the blue-eyed mini Australian shepherd has been found and the two were reunited Tuesday.
Emilie Talermo, 31, said she received a call Monday from an animal shelter in Palmdale, which is about 370 miles (600 kilometres) away in Southern California, telling her someone had just dropped off a dog with a microchip connected to her phone number.
To be sure it was her 6-year-old dog, Jackson, Talermo asked the shelter to send her photos.
Talermo launched a search on Dec. 14, when the dog with white, black, and gray fur and bright blue eyes was stolen from outside a grocery store in San Francisco's Bernal Heights neighborhood.","San Francisco: Dog stolen in December has joyous reunion with owner

Source: AP

Four months after a distraught San Francisco woman hired a plane to fly a search banner for her stolen dog, the blue-eyed mini Australian shepherd has been found and the two were reunited Tuesday. Emilie Talermo, 31, said she received a call Monday from an animal shelter in Palmdale, which is about 370 miles (600 kilometres) away in Southern California, telling her someone had just dropped off a dog with a microchip connected to her phone number. To be sure it was her 6-year-old dog, Jackson, Talermo asked the shelter to send her photos. Talermo launched a search on Dec. 14, when the dog with white, black, and gray fur and bright blue eyes was stolen from outside a grocery store in San Francisco's Bernal Heights neighborhood.",San Francisco: Dog stolen in December has joyous reunion with owner
8,"['historic', 'collapse', 'demand', 'pandemic', 'swing', 'prices', 'wants', 'oil', 'unprecedented', 'lows', 'unused', 'drop', 'extreme', 'theres', 'trading', 'times', 'crude']","COVID-19: Oil prices drop to historic lows after extreme collapse in demandSource: Times NowMonday’s collapse in a key segment of US oil trading has been jaw-dropping.
This may be called a shocking and unprecedented swing in financial markets since the coronavirus pandemic broke outbreak.
The reason behind this is with the pandemic bringing the economy to a standstill, there is so much unused oil sloshing around that American energy companies have run out of room to store it.
And if there’s no place to put the oil, no one wants a crude contract that is about to come due.","COVID-19: Oil prices drop to historic lows after extreme collapse in demand

Source: Times Now

Monday’s collapse in a key segment of US oil trading has been jaw-dropping. This may be called a shocking and unprecedented swing in financial markets since the coronavirus pandemic broke outbreak. The reason behind this is with the pandemic bringing the economy to a standstill, there is so much unused oil sloshing around that American energy companies have run out of room to store it. And if there’s no place to put the oil, no one wants a crude contract that is about to come due.",Crude Oil prices drop to historic lows after extreme collapse in demand
9,"['covid19', 'los', 'infection', 'higher', 'angeles', 'adults', 'rate', 'usc', 'indicates', 'virus', 'study', 'county']","Covid-19: Los Angeles study indicates higher infection rateSource: APA study conducted by the University of Southern California indicates that the true infection rate for COVID-19 in Los Angeles County may be 40 times more than the number of confirmed cases.
The study was outlined Monday by USC professor Neeraj Sood of the Price School for Public Policy.
The study found that 4.1 percent of 863 people tested were positive for the COVID-19 virus.
With a population of 8 million adults, that means about 32,000 adults in Los Angeles county with the disease.","Covid-19: Los Angeles study indicates higher infection rate

Source: AP

A study conducted by the University of Southern California indicates that the true infection rate for COVID-19 in Los Angeles County may be 40 times more than the number of confirmed cases. The study was outlined Monday by USC professor Neeraj Sood of the Price School for Public Policy. The study found that 4.1 percent of 863 people tested were positive for the COVID-19 virus. With a population of 8 million adults, that means about 32,000 adults in Los Angeles county with the disease.",Covid-19: Los Angeles study indicates higher infection rate
